Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,Dropout,DropoutRiskScore,DropoutRiskCategory
1,44,1,8014,0,39,130.0,1,1,19,9,9,133.4,0,0,0,1,0,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate,0,0.07165188390755842,Low
1,1,1,9238,1,1,139.0,1,37,38,9,9,126.1,0,0,0,1,0,1,19,0,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate,0,0.022463148155698776,Low
1,39,1,9254,1,1,130.0,1,19,38,9,7,113.5,0,0,0,1,0,1,24,0,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate,0,0.027432943413776792,Low
1,1,1,9500,1,1,139.0,1,37,38,6,6,121.3,1,0,0,1,0,1,19,0,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled,0,0.05507791263931755,Low
1,1,1,9773,1,1,127.0,1,1,19,7,7,121.8,1,0,0,1,0,1,20,0,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled,0,0.19856046913910785,Low
1,1,3,9130,1,1,167.0,1,37,37,90,90,159.3,0,0,0,1,0,0,19,0,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate,0,0.028207909536014857,Low
1,39,1,9991,0,1,130.0,1,38,38,9,9,120.0,0,0,0,1,0,0,27,0,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout,1,0.5414890040716872,Medium
1,1,1,9500,1,1,130.0,1,1,19,5,5,129.1,1,0,0,1,0,0,18,0,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate,0,0.05177847434248451,Low
2,7,1,9254,1,3,130.0,1,1,3,4,3,130.0,0,0,0,1,0,0,39,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout,1,0.9871739449836654,High
1,39,1,9130,1,40,129.0,1,3,3,2,2,155.3,1,0,0,1,0,0,27,0,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout,1,0.5414467482204477,Medium
1,17,1,9500,1,1,141.0,1,38,38,7,10,139.8,1,0,0,1,0,0,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate,0,0.05208622335603112,Low
1,1,3,171,1,1,125.0,1,38,37,4,9,115.2,1,0,0,1,0,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled,0,0.17414248969747695,Low
1,1,2,9500,1,1,125.0,1,19,19,9,9,114.9,0,0,0,1,0,0,18,0,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate,0,0.049385585610543986,Low
1,44,1,9238,1,39,130.0,1,19,1,9,9,131.9,0,0,0,1,0,1,21,0,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate,0,0.05018291155390982,Low
1,17,3,171,1,1,133.0,1,1,37,4,7,126.0,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled,0,0.4542770230470659,Medium
1,17,1,9070,1,1,127.0,1,1,1,3,4,130.2,1,0,0,1,1,0,19,0,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled,0,0.2493864106988377,Low
1,43,1,9070,1,1,116.0,1,1,1,3,3,120.9,0,0,0,1,1,0,24,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled,0,0.5471118462514001,Medium
4,42,1,9500,1,19,133.1,1,1,1,5,5,126.0,1,0,0,1,1,0,29,0,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout,1,0.8062613203734234,High
1,1,3,171,1,1,139.0,1,19,19,5,3,128.2,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate,0,0.1461601231712093,Low
1,44,1,9003,1,39,130.0,1,19,37,9,9,130.0,1,0,0,1,1,0,23,0,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Graduate,0,0.0656679525255781,Low
1,1,3,9147,1,1,125.0,1,1,38,7,7,120.1,0,0,1,1,1,0,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout,1,0.6809001671177503,High
1,39,1,9254,1,1,160.0,1,19,37,7,10,100.0,0,0,0,1,1,0,26,0,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled,0,0.13027707509806877,Low
1,17,1,9147,1,1,148.0,1,38,37,5,5,134.0,0,0,0,1,1,0,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled,0,0.5267258612865453,Medium
1,17,1,9500,1,1,150.0,1,37,19,8,4,130.8,0,0,0,1,1,0,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate,0,0.10375333319098333,Low
1,1,1,171,1,1,141.0,1,19,19,5,10,135.8,1,0,0,1,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout,1,0.43752139803259466,Medium
1,17,4,9254,1,1,118.0,1,38,37,5,7,111.7,1,0,0,1,1,0,18,0,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout,1,0.882105542488315,High
1,1,2,9773,1,1,142.0,1,38,38,9,9,132.9,1,0,0,1,1,0,18,0,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,Graduate,0,0.29064413243895154,Low
1,17,3,9147,1,1,120.0,1,19,19,4,7,115.5,1,0,1,1,1,0,18,0,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,Dropout,1,0.8073962678436867,High
1,18,4,9254,1,1,106.0,1,19,37,7,7,106.0,1,0,0,1,1,1,21,0,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout,1,0.8440728854367551,High
1,17,4,9773,1,1,121.0,1,1,19,9,8,120.3,1,0,1,1,1,1,19,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate,0,0.04661197829762127,Low
1,17,4,9500,1,1,150.0,1,38,37,9,9,130.8,0,0,0,1,1,1,22,0,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,Graduate,0,0.07355518138621107,Low
2,39,1,8014,0,1,120.0,1,37,37,9,6,117.0,0,0,0,1,1,0,33,0,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,Graduate,0,0.0406347195061759,Low
1,1,6,9853,1,1,114.0,1,19,19,9,9,110.2,1,0,0,1,1,0,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout,1,0.13045289205909072,Low
1,39,1,9991,0,2,140.0,1,3,3,2,2,155.7,1,0,0,1,1,0,35,0,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout,1,0.970831336506645,High
1,39,1,9003,1,4,160.0,1,3,3,4,2,180.4,0,0,1,1,1,0,24,0,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout,1,0.6780906780242627,High
1,17,1,9254,1,1,120.0,1,19,19,4,4,125.5,0,0,0,1,1,0,18,0,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled,0,0.16670098236935804,Low
2,39,1,8014,0,1,130.0,1,37,37,9,6,110.0,1,0,0,1,0,0,33,0,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate,0,0.10032092319366753,Low
1,42,1,9500,1,1,160.0,1,37,38,9,7,161.0,1,0,0,1,0,1,22,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate,0,0.02113869325958531,Low
1,39,1,9670,1,1,120.0,1,1,19,4,5,100.0,0,0,0,1,0,1,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate,0,0.07988719201836313,Low
1,17,1,9070,1,1,124.0,1,19,38,4,0,117.6,1,0,0,1,1,0,20,0,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate,0,0.0763483170131193,Low
1,1,6,9147,1,1,143.0,1,38,37,9,9,128.7,1,0,0,1,1,0,23,0,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Enrolled,0,0.06934182761595777,Low
1,43,2,9119,1,1,115.0,1,38,19,9,6,112.2,1,0,1,1,1,0,18,0,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,Enrolled,0,0.778378889271256,High
1,39,1,9500,1,1,133.1,1,1,1,4,10,100.8,0,0,0,1,1,0,24,0,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout,1,0.9504733855092365,High
1,17,2,9773,1,1,133.1,41,19,1,9,9,105.0,1,0,0,0,0,0,21,1,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduate,0,0.07586038070167209,Low
1,15,1,9130,1,1,133.1,41,1,1,4,4,100.0,0,0,0,1,0,0,26,1,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,Dropout,1,0.957209477514656,High
2,39,1,9853,1,10,133.1,1,37,34,0,0,115.5,0,0,0,1,0,0,39,0,0,6,12,3,12.666666666666666,0,0,6,14,0,0.0,1,7.6,2.6,0.32,Dropout,1,0.973031690737491,High
2,39,1,8014,0,1,133.1,1,37,19,9,9,114.0,0,0,0,1,0,0,44,0,2,8,11,8,11.875,0,0,6,7,6,12.333333333333334,0,12.7,3.7,-1.7,Graduate,0,0.031678605304967695,Low
1,15,1,9119,1,1,130.0,26,38,3,9,2,137.0,1,0,0,1,1,0,19,1,0,5,9,5,14.0,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,Enrolled,0,0.22855832688583608,Low
1,1,5,9773,1,1,135.0,1,37,1,5,5,124.9,1,0,0,1,0,0,18,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate,0,0.07677901886732585,Low
1,1,5,9500,1,1,132.0,1,37,37,7,7,120.3,1,0,0,1,0,1,18,0,0,7,7,7,13.75,0,0,8,9,8,14.47777777777778,0,12.4,0.5,1.79,Graduate,0,0.036733732496447444,Low
1,1,1,9085,1,1,135.0,1,1,2,9,1,134.3,1,0,0,1,0,0,19,0,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,Enrolled,0,0.05844497040119132,Low
1,1,4,9500,1,1,115.0,1,3,3,2,2,111.5,1,0,1,0,0,0,19,0,0,7,10,4,11.96,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout,1,0.9688736193906643,High
1,53,1,9085,1,42,130.0,1,38,38,9,9,128.8,0,0,0,1,0,0,21,0,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,Dropout,1,0.5503662142303395,Medium
1,1,4,171,1,1,133.1,1,1,1,9,10,110.0,1,0,0,1,0,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Graduate,0,0.3295631426493191,Medium
2,39,1,8014,0,1,130.0,1,37,37,6,5,113.5,1,0,0,1,0,0,36,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,1,0.9851130874567923,High
4,39,1,9003,1,12,133.1,1,37,37,9,6,160.0,0,0,0,1,0,0,43,0,13,18,19,18,14.63157894736842,0,10,13,14,13,14.23076923076923,1,15.5,2.8,-4.06,Graduate,0,0.04156370355864455,Low
1,18,1,9853,1,1,123.0,1,19,19,9,7,117.4,1,0,0,1,0,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Dropout,1,0.9947076203212547,High
1,51,1,9070,1,1,130.0,1,3,1,2,8,122.2,0,0,1,1,0,0,20,0,4,10,12,10,13.0,0,5,11,11,11,12.272727272727272,0,11.1,0.6,2.02,Graduate,0,0.09041261592178032,Low
1,1,2,9238,1,1,122.0,1,37,38,4,7,118.2,1,0,0,1,0,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,Dropout,1,0.9946695526316872,High
1,1,1,9085,1,1,113.0,1,1,1,4,4,106.7,1,0,0,1,0,0,20,0,0,6,15,4,14.2,0,0,6,17,4,13.25,0,15.5,2.8,-4.06,Dropout,1,0.6228031577251233,High
1,1,5,9500,1,1,111.0,1,3,4,4,3,108.2,1,0,0,1,0,0,20,0,2,7,9,6,13.266666666666666,0,0,7,10,5,12.3,0,12.4,0.5,1.79,Dropout,1,0.3874150834237304,Medium
1,17,2,9853,1,1,133.1,1,19,1,9,3,107.0,1,0,0,1,0,0,20,0,0,7,12,6,11.666666666666666,0,0,7,10,3,13.0,0,16.2,0.3,-0.92,Enrolled,0,0.3011117292015129,Medium
1,1,1,9238,1,1,142.0,1,37,37,6,7,136.1,1,0,0,1,0,0,18,0,0,6,8,6,13.857142857142858,0,0,6,6,6,15.0,0,13.9,-0.3,0.79,Graduate,0,0.05748154947908759,Low
1,17,2,9147,1,1,123.0,1,1,38,4,7,115.3,1,0,0,1,0,1,18,0,0,5,9,3,13.0,0,0,5,11,3,11.0,0,8.9,1.4,3.51,Enrolled,0,0.12706299256085551,Low
1,1,1,9085,1,1,131.0,1,19,19,9,9,139.8,1,0,0,1,0,0,19,0,0,5,6,5,13.4,0,0,5,5,5,12.8,0,10.8,1.4,1.74,Graduate,0,0.03198672525033814,Low
1,1,3,9773,1,1,158.0,1,1,38,4,7,157.0,1,0,0,1,0,0,18,0,0,6,6,6,12.666666666666666,0,0,6,7,6,12.571428571428571,0,10.8,1.4,1.74,Graduate,0,0.1962545450799058,Low
1,17,2,9500,1,1,122.0,1,37,37,9,9,131.0,1,0,0,1,0,0,18,0,0,7,7,6,12.516666666666666,1,0,7,7,6,12.516666666666666,1,7.6,2.6,0.32,Dropout,1,0.4353545182140568,Medium
1,43,1,9500,1,1,130.0,1,38,38,9,5,100.0,0,0,0,1,0,0,20,0,0,7,11,6,11.616666666666667,0,0,7,7,7,13.0,0,13.9,-0.3,0.79,Enrolled,0,0.044036986811351896,Low
1,17,1,9238,1,1,154.0,1,19,37,9,7,140.4,1,0,0,1,0,1,20,0,0,6,13,2,10.0,0,0,6,12,4,10.75,0,7.6,2.6,0.32,Enrolled,0,0.18679559619096592,Low
1,17,1,9147,1,1,120.0,1,19,19,3,3,113.4,0,0,0,1,0,0,20,0,0,5,11,3,10.333333333333334,0,0,5,10,3,10.666666666666666,0,12.4,0.5,1.79,Enrolled,0,0.2820283560175541,Low
1,1,2,9085,1,1,140.0,1,37,38,9,7,137.0,0,0,0,1,0,0,18,0,0,5,12,5,13.142857142857142,2,0,5,6,5,11.4,0,9.4,-0.8,-3.12,Graduate,0,0.04966045015899529,Low
1,1,1,9147,1,1,127.0,1,2,19,4,5,121.8,0,0,0,1,0,0,18,0,0,5,5,5,12.6,0,0,5,5,5,14.0,0,11.1,0.6,2.02,Graduate,0,0.03916000570399368,Low
